class,label
https://w3id.org/platoon/LoadInterruptionEvent,"""Load Interruption Event""@en"
https://w3id.org/platoon/LocalCalendar,"""Local Calendar""@en"
https://w3id.org/platoon/MaintenanceAction,"""Maintenance Action""@en"
https://w3id.org/platoon/MaintenanceSchedule,"""Maintenance Schedule""@en"
https://w3id.org/platoon/MaintenanceStopEvent,"""Maintenance Stop Event""@en"
https://w3id.org/platoon/NormalStopEvent,"""normal  Stop Event""@en"
https://w3id.org/platoon/OccupancySchedule,"""Occupancy Schedule""@en"
https://w3id.org/platoon/OilTest,"""Oil Test""@en"
https://w3id.org/platoon/PowerLoadInterruptionCapacitySchedule,"""Power Load Interruption Capacity Schedule""@en"
https://w3id.org/platoon/ProductionLoadInterruptionEvent,"""Production Load Interruption Event""@en"
https://w3id.org/platoon/PublicHoliday,"""Public Holiday""@en"
https://w3id.org/platoon/ScheduledMaintenance,"""Scheduled Maintenance""@en"
https://w3id.org/platoon/SchoolHoliday,"""School Holiday""@en"
https://w3id.org/platoon/StopEvent,"""Stop Event""@en"
https://w3id.org/platoon/UnScheduledEvent,"""Non Scheduled Event""@en"
https://w3id.org/platoon/VentilationExecution,"""Ventilation Execution""@en"
https://w3id.org/platoon/WeatherStopEvent,"""Weather Stop Event""@en"
https://w3id.org/platoon/WorkOrder,"""Work Order""@en"
https://w3id.org/platoon/CableLoosening,"""Cable Loosening""@en"
https://w3id.org/platoon/ChangeOfFailureModeParameters,"""Change Of Failure Mode Parameters""@en"
https://w3id.org/platoon/ChangingInResistorValue,"""Changing In Resistor Value""@en"
https://w3id.org/platoon/Damage,"""Damage""@en"
https://w3id.org/platoon/DegradationConstantDamage,"""Degradation Constant Damage""@en"
https://w3id.org/platoon/DegratdationAlert,"""Degratdation Alert""@en"
https://w3id.org/platoon/DeviceAddingMaintenance,"""Device Adding Maintenance""@en"
https://w3id.org/platoon/EfficiencyDegradation,"""Efficiency Degradation""@en"
https://w3id.org/platoon/FailureAlert,"""Failure Alert""@en"
https://w3id.org/platoon/FailureCause,"""Failure Cause""@en"
https://w3id.org/platoon/FailureInPiping,"""Failure In Piping""@en"
https://w3id.org/platoon/FailureMode,"""Failure Mode""@en"
https://w3id.org/platoon/FaultState,"""Fault State""@en"
https://w3id.org/platoon/ForecastOfNonTechnicalLossAlert,"""Forecast Of Non Technical Loss Alert""@en"
https://w3id.org/platoon/ForecasterOfNonTechnicalLossAlert,"""Forecaster Of Non Technical Loss Alert""@en"
https://w3id.org/platoon/ForecastingOfNonTechnicalLossAlert,"""Forecasting Of Non Technical Loss Alert""@en"
https://w3id.org/platoon/HighTemperatureFailure,"""High Temperature Failure""@en"
https://w3id.org/platoon/ImbalanceFailure,"""Imbalance Failure""@en"
